"case_name","warning_count","error_count","last_step","cp_line","elapsed_line"
"thom94d3_E_p20_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         34.703       Time  =  18:08:10          |"," |        Elapsed Time (sec) =        121.000       Date  =  03/29/2026        |"
"thom94d3_E_p20_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5381"," |        CP Time      (sec) =         46.500       Time  =  18:08:10          |"," |        Elapsed Time (sec) =        121.000       Date  =  03/29/2026        |"
"thom94d3_e_p20","21","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5471"," |        CP Time      (sec) =        117.016       Time  =  18:45:40          |"," |        Elapsed Time (sec) =        128.000       Date  =  03/29/2026        |"
"thom94d3_E_p20_1","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5471"," |        CP Time      (sec) =         40.219       Time  =  18:45:40          |"," |        Elapsed Time (sec) =        128.000       Date  =  03/29/2026        |"
"thom94d3_E_p20_2","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5471"," |        CP Time      (sec) =         39.953       Time  =  18:45:40          |"," |        Elapsed Time (sec) =        128.000       Date  =  03/29/2026        |"
"thom94d3_E_p20_3","0","0"," *** LOAD STEP   787   SUBSTEP     6  COMPLETED.    CUM ITER =   5471"," |        CP Time      (sec) =         52.531       Time  =  18:45:40          |"," |        Elapsed Time (sec) =        128.000       Date  =  03/29/2026        |"
"thom94d3_fc_base","0","1",,,
"thom94d3_fc_base1","0","0"," *** LOAD STEP   385   SUBSTEP     6  COMPLETED.    CUM ITER =   2656",,
"thom94d3_fc_base2","0","0"," *** LOAD STEP   385   SUBSTEP     6  COMPLETED.    CUM ITER =   2656",,
"thom94d3_fc_base3","0","0"," *** LOAD STEP   385   SUBSTEP     6  COMPLETED.    CUM ITER =   2656",,
"thom94d3_fc_base","0","0",," |        CP Time      (sec) =          1.109       Time  =  19:59:22          |"," |        Elapsed Time (sec) =        230.000       Date  =  03/29/2026        |"
"thom94d3_fc_base","12","0"," *** LOAD STEP    95   SUBSTEP     6  COMPLETED.    CUM ITER =    660",,
"thom94d3_fc_base1","0","0"," *** LOAD STEP    95   SUBSTEP     6  COMPLETED.    CUM ITER =    660",,
"thom94d3_fc_base2","0","0"," *** LOAD STEP    95   SUBSTEP     6  COMPLETED.    CUM ITER =    660",,
"thom94d3_fc_base3","0","0"," *** LOAD STEP    95   SUBSTEP     6  COMPLETED.    CUM ITER =    660",,
"thom94d3_fc_m10","0","0",," |        CP Time      (sec) =          0.094       Time  =  12:52:37          |"," |        Elapsed Time (sec) =          2.000       Date  =  04/02/2026        |"
