"specimen_id","displacement_mm","lateral_load_kN"
"thom94d3","-6.23316","-41.47209885"
"thom94d3","-5.74548","-35.09157065"
"thom94d3","-5.14096","-27.19108533"
"thom94d3","-3.9243","-17.71548495"
"thom94d3","-2.63652","-8.972951401"
"thom94d3","-1.35382","1.941203644"
"thom94d3","-0.1524","12.9643401"
"thom94d3","1.17348","23.11829418"
"thom94d3","2.3622","32.21357166"
"thom94d3","3.70078","39.54423987"
"thom94d3","4.69646","44.67570761"
"thom94d3","5.40258","47.82504808"
"thom94d3","5.9563","48.77518809"
"thom94d3","6.2611","50.21418758"
"thom94d3","6.14934","46.49458518"
"thom94d3","5.80136","41.47209885"
"thom94d3","5.10794","32.18643751"
"thom94d3","4.32054","23.93276345"
"thom94d3","3.38836","17.30847273"
"thom94d3","2.11582","8.755878216"
"thom94d3","0.9271","-0.66500904"
"thom94d3","0.04318","-9.651749926"
"thom94d3","-0.74422","-15.70622353"
"thom94d3","-2.4257","-28.41256682"
"thom94d3","-3.62204","-35.20010724"
"thom94d3","-4.54152","-40.27730669"
"thom94d3","-5.47116","-45.24596955"
"thom94d3","-6.41604","-48.9384378"
"thom94d3","-7.34568","-52.19631486"
"thom94d3","-8.42264","-52.00637582"
"thom94d3","-9.11606","-49.80717536"
"thom94d3","-9.39546","-49.86144366"
"thom94d3","-9.51992","-49.58965735"
"thom94d3","-9.59866","-49.01984024"
"thom94d3","-9.5504","-47.77077979"
"thom94d3","-9.44372","-46.06043881"
"thom94d3","-9.31164","-44.51290272"
"thom94d3","-9.22782","-42.85638522"
"thom94d3","-9.10336","-41.499233"
"thom94d3","-8.98652","-39.92456276"
"thom94d3","-8.88492","-38.7840389"
"thom94d3","-8.76554","-37.26363696"
"thom94d3","-8.39216","-32.21357166"
"thom94d3","-7.80796","-25.96915902"
"thom94d3","-6.79196","-19.34442348"
"thom94d3","-5.1816","-11.28068846"
"thom94d3","-3.34264","-2.782807058"
"thom94d3","-1.6256","6.285336273"
"thom94d3","0.04572","18.82887467"
